AlgebraicConstants	AlgebraicConstants
AlgebraicPreliminaries	AlgebraicPreliminaries
CanonicalRepresentation	CanonicalRepresentation
CompletePartialFraction	CompletePartialFraction
ComputableAlgFunctionField	Computable/Algebraic/AlgFunctionField
ComputableAlgebraicCompleteness	Computable/Algebraic/AlgebraicCompleteness
ComputableAlgebraicDecide	Computable/Algebraic/AlgebraicDecide
ComputableAlgebraicHermiteCompleteness	Computable/Algebraic/AlgebraicHermiteCompleteness
ComputableAlgebraicResidues	Computable/Algebraic/AlgebraicResidues
ComputableAlgebraicWfSoundness	Computable/Algebraic/AlgebraicWfSoundness
ComputableBareiss	Computable/Algebraic/Bareiss
ComputableBareissEngine	Computable/Algebraic/BareissEngine
ComputableBareissQF	Computable/Algebraic/BareissQF
ComputableCanonNormalizedReduce	Computable/CanonNormalizedReduce
ComputableCanonicalRepCorrect	Computable/CanonicalRepCorrect
ComputableCantorComposition	Computable/Algebraic/CantorComposition
ComputableCoupledDE	Computable/CoupledDE/Basic
ComputableCoupledDEAssembly	Computable/CoupledDE/Assembly
ComputableCoupledDETangentReconstruct	Computable/CoupledDE/TangentReconstruct
ComputableDivisorOrder	Computable/Algebraic/DivisorOrder
ComputableElementaryIntegrate	Computable/ElementaryIntegrate	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableField	Computable/Field
ComputableFieldGcd	Computable/FieldGcd
ComputableFiniteFieldFactor	Computable/Algebraic/FiniteFieldFactor
ComputableFractionFieldDeriv	Computable/FractionFieldDeriv
ComputableFuelFreeDiophantine	Computable/FuelFreeDiophantine
ComputableFuelFreeGcd	Computable/FuelFreeGcd
ComputableFuelFreeResultant	Computable/FuelFreeResultant
ComputableFunctionAlgebraIntegrate	Computable/FunctionAlgebraIntegrate	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableGcdCorrect	Computable/GcdCorrect
ComputableGeneralCurveDecide	Computable/Algebraic/GeneralCurveDecide
ComputableGeneralDivisor	Computable/Algebraic/GeneralDivisor
ComputableGeneralDivisorOrder	Computable/Algebraic/GeneralDivisorOrder
ComputableGeneralIntegralSoundness	Computable/Algebraic/GeneralIntegralSoundness
ComputableGeneralLogSoundness	Computable/Algebraic/GeneralLogSoundness
ComputableGeneralPicardGroupLaw	Computable/Algebraic/GeneralPicardGroupLaw
ComputableGeneralPicardNonHyperelliptic	Computable/Algebraic/GeneralPicardNonHyperelliptic
ComputableGeneralQuotient	Computable/Algebraic/GeneralQuotient
ComputableGeneralRationalPart	Computable/Algebraic/GeneralRationalPart
ComputableGeneralResidues	Computable/Algebraic/GeneralResidues
ComputableGeneralSetup	Computable/Algebraic/GeneralSetup
ComputableGeneralTorsionLight	Computable/Algebraic/GeneralTorsionLight
ComputableGeneralWellFounded	Computable/Algebraic/GeneralWellFounded
ComputableGenericBezout	Computable/GenericBezout
ComputableHenselLift	Computable/Algebraic/HenselLift
ComputableHermiteNormalForm	Computable/Algebraic/HermiteNormalForm	# REVIEW-RESOLVED: user override 2026-07-02
ComputableHyperellipticDivisor	Computable/Algebraic/HyperellipticDivisor
ComputableHyperexpEta	Computable/Hyperexp/Eta
ComputableHyperexpExampleData	Computable/Hyperexp/ExampleData
ComputableHyperexpFullSoundness	Computable/Hyperexp/FullSoundness
ComputableHyperexpLaurentCore	Computable/Hyperexp/LaurentCore
ComputableHyperexpNormal	Computable/Hyperexp/Normal
ComputableHyperexpNormalCore	Computable/Hyperexp/NormalCore
ComputableHyperexpSpecial	Computable/Hyperexp/Special
ComputableIntegralBasisFull	Computable/Algebraic/IntegralBasisFull
ComputableIntegrate	Computable/Integrate
ComputableIntegrateTowerCorrectG	Computable/IntegrateTowerCorrectG
ComputableIntegrationSpec	Computable/IntegrationSpec
ComputableIntegratorCompleteness	Computable/IntegratorCompleteness
ComputableLinearSolveCorrect	Computable/LinearSolveCorrect
ComputableLiouvilleExpBridge	Computable/LiouvilleExpBridge	# REVIEW: Liouville* cross-cutting (§3.2) -> default rule 6
ComputableLiouvilleLogBridge	Computable/LiouvilleLogBridge	# REVIEW: Liouville* cross-cutting (§3.2) -> default rule 6
ComputableLiouvilleLogTower	Computable/LiouvilleLogTower	# REVIEW: Liouville* cross-cutting (§3.2) -> default rule 6
ComputableLiouvilleStructure	Computable/LiouvilleStructure	# REVIEW: Liouville* cross-cutting (§3.2) -> default rule 6
ComputableLogPartTowerSoundness	Computable/LogPartTowerSoundness
ComputableMixedTowerIntegrate	Computable/MixedTowerIntegrate	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableMonomialDeriv	Computable/MonomialDeriv
ComputableNormalPartSoundness	Computable/NormalPartSoundness
ComputableOneShotAssembly	Computable/OneShotAssembly	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableOneShotSoundness	Computable/OneShotSoundness
ComputableParallel	Computable/Parallel
ComputableParametric	Computable/Parametric
ComputablePolyPartTower	Computable/PolyPartTower
ComputablePolynomialIrreducibility	Computable/Algebraic/PolynomialIrreducibility
ComputablePrimPRSRegular	Computable/PrimPRSRegular
ComputablePrincipalGenerator	Computable/Algebraic/PrincipalGenerator	# REVIEW-RESOLVED: user override 2026-07-02
ComputableQFunReduce	Computable/QFunReduce
ComputableRadicalAssembly	Computable/Algebraic/RadicalAssembly
ComputableRadicalCase2	Computable/Algebraic/RadicalCase2
ComputableRadicalDerivationInvariant	Computable/Algebraic/RadicalDerivationInvariant
ComputableRadicalExtension	Computable/Algebraic/RadicalExtension
ComputableRadicalGeneralN	Computable/Algebraic/RadicalGeneralN
ComputableRadicalGenericExamples	Computable/Algebraic/RadicalGenericExamples
ComputableRadicalIntegralBasis	Computable/Algebraic/RadicalIntegralBasis
ComputableRadicalIntegralSoundness	Computable/Algebraic/RadicalIntegralSoundness
ComputableRadicalIntegrate	Computable/Algebraic/RadicalIntegrate
ComputableRadicalIntegrateFull	Computable/Algebraic/RadicalIntegrateFull
ComputableRadicalLogArgGeneric	Computable/Algebraic/RadicalLogArgGeneric
ComputableRadicalLogArgument	Computable/Algebraic/RadicalLogArgument
ComputableRadicalLogIntegral	Computable/Algebraic/RadicalLogIntegral
ComputableRadicalLogSoundness	Computable/Algebraic/RadicalLogSoundness
ComputableRadicalOverTower	Computable/Algebraic/RadicalOverTower
ComputableRadicalRationalDriver	Computable/Algebraic/RadicalRationalDriver
ComputableRadicalRationalTower	Computable/Algebraic/RadicalRationalTower
ComputableRadicalResidueInfinity	Computable/Algebraic/RadicalResidueInfinity
ComputableRadicalWellFounded	Computable/Algebraic/RadicalWellFounded
ComputableRatFuncValuation	Computable/RatFuncValuation
ComputableResidueMatchSoundness	Computable/ResidueMatchSoundness	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableResultantGenericCore	Computable/ResultantGenericCore
ComputableRischDECompleteness	Computable/RischDE/Completeness
ComputableRischDEDecisionProcedure	Computable/RischDE/DecisionProcedure
ComputableRischDEDegreeBound	Computable/RischDE/DegreeBound
ComputableRischDEDegreeBoundCancellation	Computable/RischDE/DegreeBoundCancellation
ComputableRischDEExpPrimCancellation	Computable/RischDE/ExpPrimCancellation
ComputableRischDENormCompleteness	Computable/RischDE/NormCompleteness
ComputableRischDENormalCorrect	Computable/RischDE/NormalCorrect
ComputableRischDESolveExhaustiveness	Computable/RischDE/SolveExhaustiveness
ComputableRischDESolveNorm	Computable/RischDE/SolveNorm
ComputableRischDESolveNormCanon	Computable/RischDE/SolveNormCanon
ComputableRischDESolveSound	Computable/RischDE/SolveSound
ComputableRischDESolveSoundWf	Computable/RischDE/SolveSoundWf
ComputableRischDEStructural	Computable/RischDE/Structural
ComputableRischDETowerCorrectG	Computable/RischDE/TowerCorrectG
ComputableRischDETowerGlue	Computable/RischDE/TowerGlue
ComputableRischFieldCore	Computable/RischFieldCore
ComputableRischFieldSpec	Computable/RischFieldSpec
ComputableRound2IntegralBasis	Computable/Algebraic/Round2IntegralBasis
ComputableSoundnessCapstone	Computable/SoundnessCapstone	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableSplitFactorCorrect	Computable/SplitFactorCorrect
ComputableSplitFactorTowerCorrectG	Computable/SplitFactorTowerCorrectG
ComputableStructure	Computable/Structure
ComputableTorsionLogTerm	Computable/Algebraic/TorsionLogTerm
ComputableTowerBench	Computable/Tower/Bench
ComputableTowerDeriv	Computable/Tower/Deriv
ComputableTowerField	Computable/Tower/Field
ComputableTowerGcdFF	Computable/Tower/GcdFF
ComputableTowerGcdFFCore	Computable/Tower/GcdFFCore
ComputableTowerGcdFFCorrect	Computable/Tower/GcdFFCorrect
ComputableTowerIntegrate	Computable/Tower/Integrate
ComputableTowerReduce	Computable/Tower/Reduce
ComputableTowerRischDE	Computable/Tower/RischDE
ComputableTowerRischDECompleteness	Computable/Tower/RischDECompleteness
ComputableTowerRischDEWellFounded	Computable/Tower/RischDEWellFounded
ComputableTowerUnify	Computable/Tower/Unify
ComputableTowerWellFounded	Computable/Tower/WellFounded
ComputableTranscendentalOverAlgebraic	Computable/TranscendentalOverAlgebraic	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableUnifiedFuelFree	Computable/UnifiedFuelFree	# REVIEW: §3.2 cross-cutting -> default rule 6
ComputableWeakNormalizerCorrect	Computable/WeakNormalizerCorrect
ComputableZassenhausDecider	Computable/Algebraic/ZassenhausDecider
ComputeCorrectness	Compute/Correctness
Constants	Constants
ConstantsAlgebraicClosure	ConstantsAlgebraicClosure
CzichowskiNormalPosition	CzichowskiNormalPosition
DifferentialAlgebraExamples	DifferentialAlgebraExamples
DifferentialAlgebraFacts	DifferentialAlgebraFacts
